Logical quotient rating,hackathons,coding skills rating,public speaking points,self-learning capability?,reading and writing skills,memory capability score,interested career area ,Type of company want to settle in?,Management or Technical,hard/smart worker,Suggested Job Role
excellent,6,poor,excellent,no,excellent,excellent,cloud computing,Testing and Maintainance Services,Technical,hard worker,Mobile Applications Developer
excellent,2,medium,poor,no,excellent,medium,cloud computing,Sales and Marketing,Management,smart worker,Network Security Engineer
poor,3,medium,excellent,yes,medium,excellent,Business process analyst,Sales and Marketing,Management,hard worker,Mobile Applications Developer
medium,6,medium,poor,yes,excellent,medium,testing,product development,Management,hard worker,Technical Support
medium,3,medium,medium,no,medium,excellent,testing,product development,Management,hard worker,Applications Developer
poor,3,poor,excellent,yes,poor,poor,security,Product based,Management,smart worker,CRM Technical Developer
medium,1,medium,excellent,no,poor,medium,security,Product based,Technical,smart worker,Mobile Applications Developer
medium,1,poor,poor,yes,medium,poor,security,BPA,Management,smart worker,Technical Support
excellent,1,excellent,excellent,no,poor,medium,developer,Product based,Management,hard worker,Database Developer
excellent,4,excellent,poor,yes,excellent,excellent,system developer,Finance,Management,hard worker,Mobile Applications Developer
medium,6,excellent,medium,yes,poor,medium,testing,Cloud Services,Technical,smart worker,CRM Technical Developer
excellent,6,medium,excellent,no,excellent,excellent,Business process analyst,Finance,Management,hard worker,Database Developer
medium,5,medium,medium,yes,poor,poor,cloud computing,Cloud Services,Technical,hard worker,Software Engineer
medium,3,medium,poor,yes,medium,excellent,developer,Cloud Services,Technical,smart worker,Mobile Applications Developer
medium,1,poor,poor,yes,excellent,medium,system developer,Testing and Maintainance Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,1,medium,excellent,yes,excellent,poor,developer,Sales and Marketing,Management,hard worker,Network Security Engineer
poor,0,excellent,poor,no,excellent,medium,cloud computing,Web Services,Management,hard worker,Software Engineer
poor,3,poor,excellent,yes,medium,excellent,Business process analyst,Testing and Maintainance Services,Technical,smart worker,CRM Technical Developer
medium,4,excellent,medium,no,medium,excellent,testing,BPA,Technical,hard worker,Network Security Engineer
excellent,2,medium,poor,no,excellent,poor,Business process analyst,Product based,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,6,medium,medium,no,medium,excellent,testing,Sales and Marketing,Management,hard worker,Web Developer
poor,0,excellent,medium,no,poor,excellent,Business process analyst,Testing and Maintainance Services,Technical,smart worker,Applications Developer
excellent,2,poor,medium,yes,poor,medium,Business process analyst,Sales and Marketing,Management,smart worker,Network Security Engineer
excellent,3,excellent,excellent,yes,poor,excellent,developer,Testing and Maintainance Services,Management,hard worker,Network Security Engineer
poor,4,medium,poor,yes,medium,medium,cloud computing,Service Based,Management,smart worker,Systems Security Administrator
poor,2,poor,medium,yes,excellent,poor,testing,Sales and Marketing,Technical,smart worker,Network Security Engineer
excellent,3,excellent,medium,no,poor,medium,developer,Service Based,Management,hard worker,Mobile Applications Developer
excellent,1,medium,excellent,no,excellent,excellent,security,Web Services,Technical,smart worker,Software Developer
medium,6,excellent,excellent,no,medium,medium,testing,BPA,Technical,smart worker,Web Developer
medium,1,poor,poor,yes,poor,poor,developer,Finance,Technical,smart worker,Software Engineer
excellent,5,medium,excellent,no,medium,excellent,cloud computing,Web Services,Technical,smart worker,Database Developer
medium,1,poor,poor,no,medium,excellent,developer,Sales and Marketing,Technical,smart worker,Systems Security Administrator
medium,3,poor,poor,yes,medium,excellent,developer,Service Based,Management,smart worker,Network Security Engineer
poor,4,medium,excellent,yes,medium,excellent,developer,BPA,Technical,smart worker,Software Quality Assurance (QA) / Testing
poor,0,excellent,medium,no,excellent,excellent,system developer,Product based,Technical,smart worker,Systems Security Administrator
excellent,6,medium,excellent,yes,excellent,excellent,testing,Service Based,Technical,smart worker,Applications Developer
excellent,0,poor,medium,no,medium,poor,developer,Testing and Maintainance Services,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,3,medium,poor,yes,medium,poor,security,Testing and Maintainance Services,Management,hard worker,Database Developer
medium,5,poor,excellent,yes,medium,poor,developer,Sales and Marketing,Management,smart worker,Software Engineer
medium,0,poor,medium,yes,excellent,poor,Business process analyst,Web Services,Management,hard worker,Applications Developer
medium,5,poor,medium,yes,poor,medium,system developer,Web Services,Management,hard worker,Technical Support
poor,2,medium,medium,yes,medium,excellent,cloud computing,Web Services,Technical,smart worker,Technical Support
poor,2,excellent,poor,no,poor,excellent,Business process analyst,Service Based,Technical,smart worker,Network Security Engineer
poor,5,medium,medium,yes,excellent,poor,testing,BPA,Management,smart worker,Applications Developer
medium,2,excellent,medium,no,poor,poor,developer,Web Services,Technical,smart worker,Mobile Applications Developer
medium,1,medium,medium,no,excellent,poor,testing,Product based,Technical,smart worker,Database Developer
poor,1,medium,medium,yes,poor,poor,system developer,product development,Technical,hard worker,CRM Technical Developer
medium,0,poor,medium,yes,poor,excellent,system developer,Cloud Services,Technical,smart worker,Systems Security Administrator
medium,6,poor,medium,no,poor,poor,Business process analyst,Web Services,Management,smart worker,Network Security Engineer
medium,2,medium,poor,yes,medium,medium,Business process analyst,BPA,Technical,smart worker,Database Developer
poor,2,excellent,medium,yes,poor,poor,testing,Sales and Marketing,Technical,smart worker,Technical Support
excellent,3,poor,poor,no,excellent,excellent,testing,Testing and Maintainance Services,Management,smart worker,Network Security Engineer
medium,1,medium,excellent,yes,poor,medium,cloud computing,Sales and Marketing,Technical,smart worker,Software Engineer
medium,3,poor,medium,yes,medium,medium,security,Cloud Services,Management,hard worker,Network Security Engineer
poor,4,medium,medium,yes,poor,excellent,system developer,Product based,Management,smart worker,Applications Developer
excellent,0,excellent,poor,no,medium,poor,testing,Testing and Maintainance Services,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,4,excellent,poor,no,medium,excellent,testing,BPA,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,2,medium,poor,yes,excellent,poor,security,Cloud Services,Technical,hard worker,Database Developer
poor,0,poor,excellent,yes,medium,excellent,system developer,Service Based,Technical,smart worker,Software Engineer
poor,2,medium,poor,yes,medium,excellent,developer,Testing and Maintainance Services,Management,smart worker,Applications Developer
poor,6,excellent,medium,yes,excellent,excellent,Business process analyst,SAaS services,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,0,poor,poor,yes,medium,medium,testing,Product based,Technical,smart worker,Software Engineer
medium,1,medium,excellent,no,excellent,medium,security,Finance,Technical,hard worker,UX Designer
poor,3,medium,medium,no,poor,excellent,system developer,Finance,Technical,hard worker,Network Security Engineer
excellent,6,excellent,excellent,no,excellent,medium,Business process analyst,BPA,Management,hard worker,Database Developer
excellent,2,excellent,excellent,yes,medium,excellent,developer,Finance,Management,smart worker,UX Designer
excellent,2,poor,medium,yes,poor,medium,Business process analyst,Finance,Technical,smart worker,Systems Security Administrator
excellent,2,medium,excellent,no,poor,poor,developer,Testing and Maintainance Services,Management,smart worker,CRM Technical Developer
excellent,0,poor,medium,yes,medium,medium,cloud computing,Cloud Services,Technical,smart worker,Software Quality Assurance (QA) / Testing
excellent,5,poor,medium,yes,medium,excellent,testing,BPA,Management,hard worker,Technical Support
medium,6,excellent,poor,no,medium,medium,Business process analyst,Service Based,Technical,hard worker,Web Developer
excellent,5,poor,excellent,yes,excellent,poor,system developer,Cloud Services,Management,hard worker,Web Developer
poor,0,medium,poor,no,excellent,excellent,security,BPA,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,3,medium,poor,no,medium,excellent,Business process analyst,Product based,Management,hard worker,Software Engineer
medium,2,medium,poor,yes,medium,excellent,security,product development,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,1,excellent,medium,yes,excellent,medium,system developer,product development,Management,smart worker,Software Developer
poor,0,medium,excellent,no,poor,poor,cloud computing,Testing and Maintainance Services,Technical,smart worker,UX Designer
poor,0,excellent,poor,no,medium,medium,testing,SAaS services,Management,hard worker,Network Security Engineer
medium,1,medium,excellent,no,poor,poor,cloud computing,product development,Technical,smart worker,Systems Security Administrator
poor,3,medium,excellent,no,medium,medium,security,Testing and Maintainance Services,Technical,hard worker,Systems Security Administrator
medium,6,poor,excellent,no,poor,poor,system developer,Sales and Marketing,Technical,hard worker,Software Quality Assurance (QA) / Testing
poor,3,excellent,medium,no,medium,poor,developer,Web Services,Management,smart worker,Software Engineer
medium,0,poor,medium,yes,medium,excellent,developer,Testing and Maintainance Services,Management,smart worker,Web Developer
poor,0,medium,excellent,no,medium,excellent,developer,Cloud Services,Technical,hard worker,CRM Technical Developer
poor,3,excellent,poor,no,excellent,poor,Business process analyst,Cloud Services,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,5,medium,excellent,no,excellent,poor,developer,Testing and Maintainance Services,Management,smart worker,Software Developer
medium,5,poor,medium,no,medium,medium,cloud computing,product development,Technical,hard worker,UX Designer
poor,2,medium,medium,no,poor,medium,cloud computing,Service Based,Technical,smart worker,Software Quality Assurance (QA) / Testing
excellent,6,excellent,poor,yes,excellent,excellent,system developer,Testing and Maintainance Services,Technical,smart worker,Network Security Engineer
medium,5,poor,medium,no,poor,poor,testing,SAaS services,Management,hard worker,Software Engineer
excellent,1,poor,medium,no,medium,medium,Business process analyst,Testing and Maintainance Services,Technical,hard worker,Software Engineer
excellent,5,medium,medium,no,excellent,poor,developer,SAaS services,Technical,hard worker,Mobile Applications Developer
poor,2,medium,excellent,no,medium,poor,cloud computing,BPA,Management,hard worker,Technical Support
poor,4,medium,excellent,no,medium,poor,security,product development,Management,hard worker,Network Security Engineer
medium,0,poor,poor,no,medium,medium,Business process analyst,SAaS services,Management,smart worker,Applications Developer
medium,4,medium,poor,yes,medium,poor,Business process analyst,Cloud Services,Management,smart worker,Applications Developer
excellent,4,medium,excellent,no,poor,excellent,system developer,Testing and Maintainance Services,Technical,smart worker,Technical Support
poor,0,excellent,excellent,no,medium,excellent,Business process analyst,Testing and Maintainance Services,Management,hard worker,Technical Support
medium,4,excellent,excellent,yes,excellent,poor,Business process analyst,product development,Management,hard worker,Technical Support
medium,5,excellent,poor,no,medium,medium,system developer,Finance,Management,smart worker,Technical Support
excellent,6,excellent,poor,yes,poor,excellent,security,Testing and Maintainance Services,Management,smart worker,CRM Technical Developer
poor,6,excellent,medium,no,medium,poor,security,SAaS services,Management,smart worker,Technical Support
excellent,4,poor,poor,no,poor,poor,testing,Product based,Technical,hard worker,Systems Security Administrator
excellent,5,excellent,excellent,no,excellent,medium,system developer,Service Based,Management,hard worker,CRM Technical Developer
medium,6,excellent,poor,yes,excellent,medium,Business process analyst,Cloud Services,Technical,smart worker,Systems Security Administrator
poor,5,poor,medium,yes,medium,medium,testing,Sales and Marketing,Management,hard worker,Mobile Applications Developer
excellent,6,excellent,poor,no,medium,poor,testing,Web Services,Management,smart worker,Applications Developer
medium,3,medium,poor,yes,poor,excellent,testing,Web Services,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,5,poor,poor,no,excellent,excellent,cloud computing,Testing and Maintainance Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
poor,3,poor,medium,no,excellent,excellent,system developer,Web Services,Technical,smart worker,Applications Developer
medium,1,medium,excellent,no,poor,excellent,system developer,Cloud Services,Technical,smart worker,Systems Security Administrator
excellent,0,medium,excellent,yes,excellent,excellent,developer,Product based,Technical,hard worker,Mobile Applications Developer
poor,2,medium,poor,yes,medium,poor,Business process analyst,Testing and Maintainance Services,Technical,hard worker,Technical Support
medium,4,medium,excellent,no,medium,poor,Business process analyst,Service Based,Technical,smart worker,Database Developer
medium,1,medium,excellent,yes,medium,poor,testing,product development,Management,smart worker,UX Designer
excellent,1,excellent,excellent,yes,excellent,medium,system developer,Testing and Maintainance Services,Technical,smart worker,Software Engineer
poor,2,poor,poor,yes,poor,medium,security,Finance,Technical,smart worker,CRM Technical Developer
medium,2,excellent,excellent,yes,medium,excellent,Business process analyst,Cloud Services,Management,smart worker,UX Designer
medium,4,excellent,poor,no,poor,excellent,cloud computing,Service Based,Management,smart worker,Web Developer
excellent,6,poor,excellent,yes,poor,excellent,Business process analyst,Service Based,Management,smart worker,Technical Support
poor,6,medium,poor,no,poor,excellent,Business process analyst,Web Services,Technical,smart worker,Applications Developer
poor,2,excellent,medium,yes,medium,poor,cloud computing,Web Services,Technical,smart worker,Software Engineer
excellent,1,medium,poor,no,medium,poor,developer,SAaS services,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,4,excellent,medium,yes,poor,medium,Business process analyst,Service Based,Management,smart worker,Database Developer
excellent,1,medium,excellent,yes,excellent,medium,developer,SAaS services,Management,hard worker,Systems Security Administrator
poor,1,poor,poor,no,medium,medium,developer,SAaS services,Management,smart worker,Software Engineer
excellent,0,poor,poor,yes,poor,poor,developer,Sales and Marketing,Management,hard worker,UX Designer
medium,6,medium,poor,no,medium,excellent,cloud computing,Finance,Management,smart worker,Network Security Engineer
medium,3,excellent,medium,no,poor,excellent,Business process analyst,Web Services,Technical,smart worker,Software Developer
medium,0,medium,excellent,yes,medium,medium,Business process analyst,BPA,Management,hard worker,Mobile Applications Developer
excellent,5,excellent,poor,yes,poor,excellent,developer,Cloud Services,Management,smart worker,CRM Technical Developer
excellent,3,excellent,excellent,no,excellent,poor,Business process analyst,Web Services,Management,hard worker,Web Developer
poor,0,excellent,medium,no,medium,excellent,testing,Sales and Marketing,Technical,smart worker,Software Engineer
medium,4,excellent,excellent,no,poor,excellent,security,Service Based,Management,smart worker,Web Developer
poor,0,medium,poor,no,excellent,medium,Business process analyst,Service Based,Technical,hard worker,UX Designer
excellent,0,excellent,poor,yes,excellent,excellent,cloud computing,Product based,Technical,hard worker,Database Developer
medium,0,excellent,poor,no,excellent,poor,security,Product based,Technical,hard worker,Applications Developer
medium,5,poor,poor,yes,medium,poor,system developer,Cloud Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,4,excellent,poor,no,poor,excellent,security,Web Services,Management,smart worker,Web Developer
excellent,5,medium,poor,yes,excellent,poor,system developer,BPA,Technical,hard worker,Software Quality Assurance (QA) / Testing
poor,2,poor,poor,yes,medium,poor,developer,Web Services,Technical,smart worker,Applications Developer
medium,5,medium,poor,yes,poor,poor,cloud computing,product development,Management,hard worker,UX Designer
excellent,2,poor,poor,yes,medium,medium,system developer,Product based,Management,hard worker,Software Developer
poor,6,medium,poor,yes,excellent,poor,testing,Finance,Management,hard worker,Web Developer
excellent,2,excellent,medium,no,excellent,poor,security,Product based,Technical,hard worker,Applications Developer
poor,4,excellent,poor,no,excellent,excellent,cloud computing,Cloud Services,Management,smart worker,Web Developer
medium,0,medium,excellent,yes,excellent,excellent,security,SAaS services,Technical,hard worker,Software Engineer
poor,4,poor,medium,no,medium,medium,system developer,Service Based,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,0,poor,excellent,yes,medium,medium,testing,BPA,Management,hard worker,Software Engineer
medium,5,medium,excellent,yes,poor,medium,security,Web Services,Technical,smart worker,Software Developer
poor,0,excellent,medium,yes,excellent,excellent,security,Product based,Management,smart worker,CRM Technical Developer
medium,5,medium,medium,no,medium,excellent,Business process analyst,Product based,Management,smart worker,Software Quality Assurance (QA) / Testing
medium,2,excellent,excellent,yes,poor,excellent,security,Service Based,Technical,smart worker,CRM Technical Developer
excellent,1,excellent,medium,no,medium,excellent,testing,Service Based,Technical,hard worker,Software Engineer
poor,2,medium,medium,yes,excellent,poor,Business process analyst,Service Based,Management,hard worker,Applications Developer
excellent,5,poor,excellent,no,excellent,excellent,testing,Testing and Maintainance Services,Technical,hard worker,Network Security Engineer
poor,3,medium,medium,no,medium,excellent,cloud computing,Service Based,Management,hard worker,Systems Security Administrator
poor,0,medium,poor,yes,excellent,excellent,developer,product development,Technical,smart worker,UX Designer
medium,1,excellent,medium,yes,excellent,poor,security,Finance,Technical,hard worker,Web Developer
poor,5,poor,poor,yes,excellent,poor,developer,Product based,Management,hard worker,Systems Security Administrator
medium,6,excellent,excellent,no,medium,poor,security,Web Services,Technical,smart worker,CRM Technical Developer
medium,2,medium,poor,no,poor,poor,system developer,Finance,Technical,hard worker,Network Security Engineer
medium,1,medium,excellent,no,excellent,poor,system developer,Web Services,Management,hard worker,Software Quality Assurance (QA) / Testing
poor,2,excellent,excellent,yes,excellent,medium,security,SAaS services,Management,smart worker,Software Engineer
medium,4,medium,excellent,no,excellent,poor,system developer,Sales and Marketing,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,4,poor,poor,yes,excellent,medium,testing,Service Based,Management,smart worker,Web Developer
poor,5,poor,excellent,no,poor,excellent,system developer,Finance,Management,hard worker,Software Engineer
poor,4,excellent,poor,no,poor,poor,developer,BPA,Management,smart worker,Systems Security Administrator
medium,2,poor,excellent,yes,poor,medium,cloud computing,Product based,Management,hard worker,Applications Developer
medium,2,poor,poor,yes,poor,poor,security,Product based,Technical,smart worker,Applications Developer
poor,4,medium,excellent,no,poor,poor,cloud computing,Sales and Marketing,Technical,hard worker,Systems Security Administrator
poor,4,excellent,poor,yes,excellent,excellent,system developer,product development,Management,hard worker,Web Developer
poor,6,medium,poor,yes,medium,excellent,developer,Cloud Services,Management,smart worker,Software Quality Assurance (QA) / Testing
excellent,4,poor,poor,no,poor,poor,cloud computing,Web Services,Technical,hard worker,Network Security Engineer
excellent,4,excellent,poor,no,poor,excellent,security,Product based,Technical,smart worker,UX Designer
excellent,5,medium,excellent,no,excellent,medium,security,Product based,Management,smart worker,Systems Security Administrator
poor,1,medium,excellent,no,excellent,medium,testing,Product based,Management,smart worker,Software Engineer
medium,3,excellent,poor,no,excellent,excellent,testing,SAaS services,Management,hard worker,Database Developer
excellent,3,excellent,medium,yes,poor,excellent,system developer,Product based,Technical,hard worker,Web Developer
excellent,2,medium,excellent,no,poor,medium,testing,Cloud Services,Management,hard worker,Software Quality Assurance (QA) / Testing
medium,6,medium,poor,no,excellent,poor,developer,Cloud Services,Technical,smart worker,Software Engineer
excellent,2,excellent,medium,yes,poor,medium,security,Web Services,Technical,hard worker,Technical Support
excellent,3,medium,excellent,yes,poor,excellent,developer,Web Services,Technical,hard worker,Web Developer
medium,2,excellent,poor,yes,medium,medium,security,Web Services,Management,smart worker,Technical Support
poor,5,medium,poor,yes,excellent,excellent,system developer,Finance,Management,hard worker,Network Security Engineer
excellent,0,medium,excellent,yes,medium,poor,testing,Web Services,Technical,hard worker,Network Security Engineer
medium,6,excellent,poor,no,medium,poor,system developer,Service Based,Management,hard worker,Technical Support
poor,5,poor,excellent,yes,poor,medium,Business process analyst,product development,Management,smart worker,Applications Developer
excellent,4,excellent,poor,yes,poor,excellent,cloud computing,Cloud Services,Technical,smart worker,Applications Developer
poor,5,poor,poor,no,poor,excellent,developer,Cloud Services,Technical,hard worker,UX Designer
poor,3,medium,poor,no,excellent,poor,testing,SAaS services,Technical,hard worker,UX Designer
poor,3,medium,medium,yes,excellent,medium,security,Testing and Maintainance Services,Technical,hard worker,Web Developer
poor,6,poor,poor,no,excellent,poor,developer,Web Services,Technical,hard worker,Web Developer
poor,1,excellent,excellent,yes,poor,excellent,system developer,BPA,Technical,smart worker,Mobile Applications Developer
excellent,2,poor,poor,yes,medium,excellent,security,Testing and Maintainance Services,Management,hard worker,Software Developer
poor,2,medium,medium,yes,poor,excellent,Business process analyst,Testing and Maintainance Services,Technical,hard worker,CRM Technical Developer
medium,6,medium,medium,no,poor,medium,Business process analyst,Service Based,Technical,smart worker,Technical Support
poor,4,excellent,excellent,yes,excellent,medium,security,Service Based,Technical,hard worker,Network Security Engineer
excellent,1,excellent,poor,no,poor,medium,cloud computing,Web Services,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,0,poor,poor,no,poor,medium,cloud computing,Testing and Maintainance Services,Technical,hard worker,Software Engineer
medium,2,poor,excellent,yes,poor,medium,cloud computing,Testing and Maintainance Services,Technical,smart worker,Technical Support
medium,3,poor,excellent,yes,medium,medium,cloud computing,Finance,Management,smart worker,Mobile Applications Developer
excellent,4,poor,excellent,no,excellent,medium,system developer,Product based,Technical,smart worker,Database Developer
medium,3,poor,poor,no,medium,medium,cloud computing,Finance,Management,hard worker,Software Developer
medium,0,medium,medium,no,poor,excellent,cloud computing,Web Services,Technical,smart worker,Technical Support
excellent,0,poor,excellent,no,excellent,poor,developer,Finance,Technical,hard worker,Mobile Applications Developer
medium,0,medium,excellent,no,poor,medium,testing,BPA,Technical,smart worker,CRM Technical Developer
excellent,1,medium,excellent,no,excellent,poor,system developer,Web Services,Management,hard worker,Database Developer
poor,6,medium,medium,no,excellent,excellent,system developer,Product based,Technical,hard worker,Web Developer
poor,2,poor,excellent,no,medium,medium,Business process analyst,Cloud Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,6,medium,poor,no,medium,medium,cloud computing,product development,Technical,smart worker,Technical Support
medium,2,poor,excellent,no,medium,poor,system developer,SAaS services,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,2,medium,excellent,yes,excellent,medium,developer,BPA,Management,hard worker,Software Developer
excellent,3,excellent,excellent,yes,medium,poor,developer,Testing and Maintainance Services,Technical,hard worker,CRM Technical Developer
excellent,6,medium,medium,yes,excellent,poor,testing,BPA,Technical,smart worker,Database Developer
poor,0,excellent,poor,no,excellent,medium,developer,Service Based,Management,smart worker,Database Developer
excellent,6,medium,poor,no,poor,medium,security,Service Based,Management,hard worker,Mobile Applications Developer
excellent,2,medium,poor,yes,medium,medium,developer,Product based,Technical,smart worker,Database Developer
medium,2,poor,poor,yes,excellent,medium,security,BPA,Management,smart worker,Web Developer
poor,2,excellent,medium,no,poor,poor,security,product development,Technical,smart worker,Applications Developer
excellent,0,excellent,medium,yes,excellent,excellent,Business process analyst,Finance,Management,hard worker,CRM Technical Developer
excellent,6,excellent,medium,no,medium,excellent,Business process analyst,Product based,Management,smart worker,Software Engineer
excellent,3,excellent,medium,no,poor,poor,developer,Web Services,Technical,hard worker,UX Designer
excellent,0,poor,medium,yes,excellent,medium,Business process analyst,Finance,Management,hard worker,Database Developer
excellent,2,excellent,poor,no,poor,medium,system developer,BPA,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,5,poor,excellent,yes,poor,excellent,developer,Web Services,Technical,smart worker,Systems Security Administrator
poor,5,excellent,medium,yes,poor,excellent,system developer,Cloud Services,Management,hard worker,Mobile Applications Developer
poor,3,medium,excellent,no,poor,excellent,system developer,Finance,Technical,hard worker,Applications Developer
excellent,2,poor,excellent,yes,medium,excellent,Business process analyst,product development,Technical,hard worker,Mobile Applications Developer
poor,4,medium,medium,yes,medium,poor,developer,Finance,Technical,smart worker,CRM Technical Developer
medium,5,excellent,poor,yes,excellent,medium,testing,Cloud Services,Management,smart worker,Technical Support
excellent,5,excellent,excellent,no,medium,medium,testing,Sales and Marketing,Technical,hard worker,Mobile Applications Developer
excellent,4,poor,excellent,no,medium,poor,system developer,Product based,Management,smart worker,Network Security Engineer
excellent,3,excellent,excellent,no,medium,excellent,testing,SAaS services,Technical,smart worker,Systems Security Administrator
excellent,4,poor,poor,no,poor,excellent,cloud computing,product development,Management,smart worker,Software Quality Assurance (QA) / Testing
medium,5,excellent,excellent,no,poor,medium,Business process analyst,Web Services,Technical,smart worker,UX Designer
poor,5,excellent,medium,yes,medium,medium,developer,product development,Technical,smart worker,Mobile Applications Developer
poor,3,medium,excellent,no,excellent,poor,cloud computing,Product based,Technical,smart worker,Technical Support
medium,5,medium,poor,no,excellent,excellent,Business process analyst,Web Services,Technical,hard worker,UX Designer
poor,6,excellent,excellent,yes,medium,excellent,testing,Cloud Services,Management,hard worker,Network Security Engineer
medium,6,excellent,excellent,yes,excellent,excellent,cloud computing,Web Services,Technical,hard worker,Software Developer
medium,2,poor,excellent,yes,poor,poor,security,Cloud Services,Management,hard worker,Software Engineer
medium,3,excellent,poor,no,poor,excellent,developer,SAaS services,Management,hard worker,CRM Technical Developer
excellent,3,excellent,poor,yes,poor,medium,cloud computing,Product based,Management,smart worker,Applications Developer
medium,5,excellent,medium,no,excellent,excellent,developer,Finance,Management,hard worker,Software Engineer
medium,0,poor,excellent,yes,excellent,excellent,cloud computing,Service Based,Technical,smart worker,Software Quality Assurance (QA) / Testing
poor,6,excellent,poor,yes,medium,medium,Business process analyst,Sales and Marketing,Technical,smart worker,Software Engineer
medium,2,excellent,poor,yes,medium,excellent,developer,Sales and Marketing,Technical,smart worker,Technical Support
excellent,6,excellent,excellent,no,medium,medium,testing,Service Based,Technical,smart worker,Technical Support
medium,0,poor,poor,no,medium,excellent,Business process analyst,Cloud Services,Technical,hard worker,Systems Security Administrator
poor,3,excellent,poor,no,medium,medium,system developer,Web Services,Technical,hard worker,Software Developer
excellent,5,medium,excellent,yes,medium,poor,security,Sales and Marketing,Management,smart worker,Network Security Engineer
medium,3,poor,medium,yes,excellent,excellent,cloud computing,SAaS services,Technical,hard worker,CRM Technical Developer
excellent,0,medium,medium,yes,medium,excellent,system developer,Sales and Marketing,Technical,smart worker,Mobile Applications Developer
poor,0,medium,medium,no,excellent,excellent,security,product development,Technical,hard worker,Network Security Engineer
medium,2,poor,excellent,yes,excellent,poor,system developer,SAaS services,Management,hard worker,Systems Security Administrator
medium,4,poor,medium,no,poor,medium,Business process analyst,product development,Management,hard worker,Applications Developer
excellent,6,poor,excellent,yes,medium,poor,developer,Sales and Marketing,Technical,smart worker,Database Developer
excellent,5,excellent,medium,yes,poor,medium,security,Product based,Technical,hard worker,Technical Support
excellent,2,poor,medium,no,poor,excellent,cloud computing,Testing and Maintainance Services,Technical,hard worker,Software Quality Assurance (QA) / Testing
excellent,4,medium,poor,yes,medium,medium,Business process analyst,product development,Technical,hard worker,Systems Security Administrator
poor,2,poor,excellent,yes,medium,excellent,security,Testing and Maintainance Services,Technical,smart worker,Web Developer
poor,6,excellent,medium,no,medium,poor,developer,Service Based,Management,hard worker,Technical Support
excellent,6,poor,excellent,yes,excellent,medium,Business process analyst,Web Services,Technical,smart worker,Software Developer
poor,1,excellent,poor,no,poor,excellent,Business process analyst,BPA,Technical,hard worker,Technical Support
poor,6,poor,poor,no,poor,medium,system developer,product development,Management,smart worker,Technical Support
excellent,1,excellent,medium,yes,excellent,excellent,security,Cloud Services,Technical,hard worker,Systems Security Administrator
medium,6,medium,excellent,yes,excellent,excellent,testing,Service Based,Management,smart worker,Software Engineer
medium,3,medium,excellent,yes,medium,poor,cloud computing,Testing and Maintainance Services,Management,smart worker,Software Developer
excellent,3,poor,excellent,no,medium,poor,testing,Sales and Marketing,Technical,smart worker,UX Designer
medium,6,excellent,medium,no,medium,medium,Business process analyst,product development,Management,smart worker,Software Quality Assurance (QA) / Testing
poor,6,excellent,excellent,yes,poor,medium,security,Service Based,Technical,smart worker,UX Designer
medium,1,medium,poor,yes,medium,excellent,security,Finance,Management,smart worker,Software Developer
poor,5,excellent,medium,yes,medium,excellent,security,BPA,Management,hard worker,Mobile Applications Developer
excellent,4,medium,excellent,yes,poor,poor,developer,Cloud Services,Management,hard worker,CRM Technical Developer
poor,6,poor,poor,no,medium,poor,Business process analyst,BPA,Management,smart worker,Network Security Engineer
excellent,6,medium,poor,no,medium,excellent,security,product development,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,5,poor,medium,yes,excellent,poor,Business process analyst,Testing and Maintainance Services,Technical,smart worker,CRM Technical Developer
poor,0,excellent,excellent,yes,medium,excellent,Business process analyst,Finance,Technical,smart worker,Technical Support
poor,1,excellent,poor,yes,medium,poor,testing,Product based,Management,smart worker,Applications Developer
medium,2,poor,poor,no,poor,medium,testing,Sales and Marketing,Management,hard worker,Software Quality Assurance (QA) / Testing
excellent,6,poor,medium,no,excellent,medium,testing,Web Services,Management,hard worker,Systems Security Administrator
medium,6,excellent,poor,no,excellent,poor,Business process analyst,SAaS services,Technical,smart worker,Applications Developer
poor,4,medium,poor,yes,excellent,excellent,Business process analyst,Finance,Technical,hard worker,Database Developer
